아파트명,도로명주소,시군구,읍면동,세대수,lon,lat,정제주소
신천장미1차2차,서울특별시 송파구 올림픽로35길 104,송파구,신천동,3402,127.0994131,37.519587,서울특별시 송파구 올림픽로35길 104
반포자이,서울특별시 서초구 신반포로 270,서초구,반포동,3410,127.0135922,37.507538,서울특별시 서초구 신반포로 270
중계그린,서울특별시 노원구 동일로207길 18,노원구,중계동,3481,127.0641156,37.6420264,서울특별시 노원구 동일로207길 18
관악드림타운,서울특별시 관악구 성현로 80,관악구,봉천동,3544,126.9506808,37.4898239,서울특별시 관악구 성현로 80
잠실동트리지움,서울특별시 송파구 잠실로 62,송파구,잠실동,3696,127.0895562,37.5083905,서울특별시 송파구 잠실로 62
성산시영아파트,서울특별시 마포구 월드컵북로 260,마포구,성산동,3710,126.9028201,37.5684652,서울특별시 마포구 월드컵북로 260
돈암한신한진아파트,서울특별시 성북구 성북로4길 52,성북구,돈암동,3929,127.0102405,37.5949161,서울특별시 성북구 성북로4길 52
월계시영고층,서울특별시 노원구 마들로 111,노원구,월계동,3930,127.0657785,37.6239862,서울특별시 노원구 마들로 111
반포본동아파트,서울특별시 서초구 신반포로3길 14,서초구,반포동,3610,126.9869329,37.5030465,서울특별시 서초구 신반포로3길 14
은마,서울특별시 강남구 삼성로 212,강남구,대치동,4424,127.0650701,37.4977415,서울특별시 강남구 삼성로 212
올림픽훼밀리타운,서울특별시 송파구 중대로 24,송파구,문정동,4494,127.1143761,37.4885215,서울특별시 송파구 중대로 24
개포주공1단지,서울특별시 강남구 개포로 310,강남구,개포동,5040,127.0585214,37.4800022,서울특별시 강남구 개포로 310
올림픽선수기자촌아파트,서울특별시 송파구 양재대로 1218,송파구,방이동,5540,127.1361039,37.5179148,서울특별시 송파구 양재대로 1218
잠실리센츠,서울특별시 송파구 올림픽로 135,송파구,잠실동,5563,127.088451,37.5127515,서울특별시 송파구 올림픽로 135
잠실엘스아파트,서울특별시 송파구 올림픽로 99,송파구,잠실동,5678,127.088451,37.5127515,서울특별시 송파구 올림픽로 99
잠실파크리오,서울특별시 송파구 올림픽로 435,송파구,신천동,6864,127.1093216,37.5212508,서울특별시 송파구 올림픽로 435
잠실5단지아파트,서울특별시 송파구 송파대로 567,송파구,잠실동,3930,127.093004,37.5143691,서울특별시 송파구 송파대로 567
관악산휴먼시아,서울특별시 관악구 난곡로 55,관악구,신림동,2810,126.9212183,37.4616692,서울특별시 관악구 난곡로 55
SK북한산시티아파트,서울특별시 강북구 솔샘로 174,강북구,미아동,3830,127.0123459,37.6181847,서울특별시 강북구 솔샘로 174
상계주공3단지,서울특별시 노원구 동일로 1389,노원구,상계동,2213,127.0568216,37.651102,서울특별시 노원구 동일로 1389
수서1-1단지아파트,서울특별시 강남구 양재대로55길 10,강남구,일원동,2214,127.0909823,37.4927536,서울특별시 강남구 양재대로55길 10
래미안퍼스티지,서울특별시 서초구 반포대로 275,서초구,반포동,2444,126.9997222,37.502999,서울특별시 서초구 반포대로 275
중계주공9단지,서울특별시 노원구 노원로16길 15,노원구,하계동,2634,127.0742657,37.6430931,서울특별시 노원구 노원로16길 15
개포주공4단지,,강남구,개포동,2840,127.0731699,37.4863102,
서초삼풍,서울특별시 서초구 서초중앙로 200,서초구,서초동,2390,127.0160708,37.4991876,서울특별시 서초구 서초중앙로 200
고덕리엔파크3단지,서울특별시 강동구 상일로 74,강동구,상일동,2283,127.1747855,37.5513683,서울특별시 강동구 상일로 74
DMC래미안e편한세상,서울특별시 서대문구 수색로 100,서대문구,북가좌동,3293,126.9109013,37.572773,서울특별시 서대문구 수색로 100
마포래미안푸르지오,서울특별시 마포구 마포대로 195,마포구,아현동,3885,126.9542913,37.552355,서울특별시 마포구 마포대로 195
강서힐스테이트아파트,서울특별시 강서구 우현로 67,강서구,화곡동,2603,126.8368532,37.5460793,서울특별시 강서구 우현로 67
래미안위브,서울특별시 동대문구 답십리로 130,동대문구,답십리동,2652,127.052370031,37.57285189,서울특별시 동대문구 답십리로 130
래미안크레시티,서울특별시 동대문구 사가정로 65,동대문구,전농동,2397,127.049688319,37.57552441,서울특별시 동대문구 사가정로 65
DMC파크뷰자이아파트,서울특별시 서대문구 가재울미래로 2,서대문구,남가좌동,4300,126.922655933,37.573897103,서울특별시 서대문구 가재울미래로 2
센트라스,서울특별시 성동구 왕십리로 410,성동구,하왕십리동,2529,127.028445899926,37.5663379455023,서울특별시 성동구 왕십리로 410
래미안힐스테이트 고덕,서울특별시 강동구 아리수로50길 50,강동구,고덕동,3658,127.150901775,37.559120831,서울특별시 강동구 아리수로50길 50
위례포레샤인아파트,서울특별시 송파구 위례순환로 477,송파구,장지동,2200,127.134102732,37.476533455,서울특별시 송파구 위례순환로 477
헬리오시티아파트,서울특별시 송파구 송파대로 345,송파구,가락동,9510,127.10249742,37.497609869,서울특별시 송파구 송파대로 345
래미안길음센터피스,서울특별시 성북구 숭인로 50,성북구,길음동,2352,127.027970717,37.609757966,서울특별시 성북구 숭인로 50
고덕 그라시움 아파트,서울특별시 강동구 고덕로 333,강동구,고덕동,4932,127.159176172,37.556179683,서울특별시 강동구 고덕로 333
고덕 아르테온 아파트,서울특별시 강동구 고덕로 360,강동구,상일동,4066,127.1685346,37.5550952,서울특별시 강동구 고덕로 360
목동 센트럴 아이파크위브 아파트,서울특별시 양천구 남부순환로83길 18,양천구,신월동,3045,126.843516,37.516804,서울특별시 양천구 남부순환로83길 18
녹번역e편한세상캐슬,서울특별시 은평구 은평로 220,은평구,응암동,2569,126.932044,37.599269,서울특별시 은평구 은평로 220
개포래미안포레스트,서울특별시 강남구 개포로 264,강남구,개포동,2296,127.054031,37.47848,서울특별시 강남구 개포로 264
개포자이프레지던스,서울특별시 강남구 삼성로 14,강남구,개포동,3375,127.0716098,37.4851097,서울특별시 강남구 삼성로 14
래미안원베일리,서울특별시 서초구 반포대로 333,서초구,반포동,2990,126.9981867,37.5068044,서울특별시 서초구 반포대로 333
디에이치퍼스티어아이파크,서울특별시 강남구 개포로 310,강남구,개포동,6702,127.0578480,37.4802872,서울특별시 강남구 개포로 310
올림픽파크포레온,서울특별시 강동구 양재대로 1300,강동구,둔촌동,12032,127.138787,37.523857,서울특별시 강동구 양재대로 1300
래미안라그란데,서울특별시 동대문구 이문로35길 12,동대문구,이문동,3069,127.0602571,37.600078,서울특별시 동대문구 이문로35길 12
장위자이레디언트,서울특별시 성북구 돌곶이로30길 23,성북구,장위동,2840,127.0566091,37.613619,서울특별시 성북구 돌곶이로30길 23
