아파트명,세대수,시군구,lon,lat
고덕 그라시움 아파트,4932,강동구,127.159176172,37.556179683
래미안퍼스트하이,1562,성북구,127.050405109,37.620513385
디에이치 아너힐즈,1320,강남구,127.066481237,37.485247196
고덕롯데캐슬베네루체,1859,강동구,127.167612,37.549416
고덕센트럴 아이파크,1745,강동구,127.1669237,37.5522344
e편한세상서울대입구아파트,1276,관악구,126.943451,37.47799
보라매 sk뷰,1546,영등포구,126.9151097,37.5011629
고덕 아르테온 아파트,4066,강동구,127.1685346,37.5550952
목동 센트럴 아이파크위브 아파트,3045,양천구,126.843516,37.516804
녹번역e편한세상캐슬,2569,은평구,126.932044,37.599269
사가정 센트럴 아이파크 아파트,1505,중랑구,127.081924,37.582679
힐스테이트클래시안아파트,1476,영등포구,126.912117,37.503998
개포래미안포레스트,2296,강남구,127.054031,37.47848
래미안리더스원,1317,서초구,127.028121,37.490773
꿈의숲아이파크아파트,1711,성북구,127.047983,37.618675
고덕자이 아파트,1824,강동구,127.1708,37.552393
마곡엠밸리9단지,1529,강서구,126.818592,37.561735
래미안 목동아델리체,1497,양천구,126.851496,37.518826
마포프레스티지자이아파트,1694,마포구,126.947802,37.553719
디에이치 자이 개포,1996,강남구,127.075083,37.490791
서초그랑자이,1446,서초구,127.025992,37.489133
포레나송파,1282,송파구,127.1440562,37.4863348
태릉해링턴플레이스,1308,노원구,127.0815267,37.6260014
롯데캐슬클라시아,2029,성북구,127.0252576,37.6089258
송파 시그니처 롯데캐슬아파트,1945,송파구,127.146583,37.4958575
개포상록스타힐스,1703,강남구,127.0758235,37.4882004
마포더클래시,1419,마포구,126.9488538,37.5561542
흑석자이,1772,동작구,126.9585023,37.5024601
개포자이프레지던스,3375,강남구,127.0716098,37.4851097
청량리역 롯데캐슬 SKY-L65,1425,동대문구,127.0453793,37.5794114
DMC SKVIEW 아이파크포레,1482,은평구,126.8932295,37.5864629
래미안원베일리,2990,서초구,126.9981867,37.5068044
디에이치퍼스티어아이파크,6702,강남구,127.0578480,37.4802872
강동헤리티지자이,1299,강동구,127.1486967,37.5391486
올림픽파크포레온,12032,강동구,127.138787,37.523857
힐스테이트 e편한세상 문정아파트,1265,송파구,127.1332848,37.4894236
래미안라그란데,3069,동대문구,127.0602571,37.600078
장위자이레디언트,2840,성북구,127.0566091,37.613619
