인증등급,시군구,시설명,인증대상,용도구분,lat,lon
우수,금천구,서울금천경찰서 청사,건축물,업무시설,37.4815707566502,126.927328376717
일반,동대문구,답십리 제1동 주민센터,건축물,업무시설,37.5717902951744,127.051274202498
우수,강남구,나라키움신사동빌딩,건축물,제1종 근린생활시설,37.5203006642625,127.027759709827
우수,성동구,성동구 보건소 금호분소,건축물,업무시설,37.554489547668,127.021394017832
우수,영등포구,나라키움 여의도빌딩,건축물,업무시설,37.51826928633302,126.93127000174648
우수,금천구,남부도로사업소청사,건축물,업무시설,37.4873699323826,126.890335123966
우수,강남구,나라키움 역삼동 A빌딩,건축물,제1종 근린생활시설,37.5046663533126,127.045477296598
우수,강남구,나라키움 역삼동 B빌딩,건축물,제1종 근린생활시설,37.50432384068583,127.04581524627811
우수,동대문구,용두문화복지센터,건축물,노유자시설,37.5753232265587,127.039172914802
우수,금천구,독산2동 복합청사,건축물,업무시설,37.4873699323826,126.890335123966
우수,중랑구,망우경로복지관,건축물,노유자시설,37.587405987217,127.1018089641
우수,마포구,마포구 보훈회관,건축물,업무시설,37.5468761152545,126.934525396571
일반,종로구,봉제박물관,건축물,문화 및 집회시설,37.57361736571936,127.01053673507938
우수,마포구,서울지방경찰청 광역수사대 청사,건축물,업무시설,37.5424511796281,126.942961479688
일반,송파구,송파구 청소년 문화의 집,건축물,수련시설,37.52928093613128,127.14488817176837
우수,구로구,구로구 가족통합지원센터,건축물,노유자시설,37.48253274714113,126.8897180850707
우수,은평구,서울서부경찰서 청사,건축물,업무시설,37.602478617878475,126.9288631649988
우수,노원구,월계문화복지센터,건축물,노유자시설,37.6242770174233,127.050788022608
우수,도봉구,방학동 도깨비시장 고객지원센터,건축물,제1종 근린생활시설,37.6654481289862,127.036037638952
우수,동대문구,청량리역 파출소,건축물,제1종 근린생활시설,37.576195748345235,127.04796485230644
우수,강북구,번1동 주민센터,건축물,업무시설,37.63789093251302,127.02884574513625
우수,서대문구,신촌 문화발전소,건축물,제1종 근린생활시설,37.557953966765695,126.93975580597542
일반,도봉구,창2동 청소년시설,건축물,제1종 근린생활시설,37.6306799462547,127.026713155782
우수,관악구,돌샘행복마을 복합시설,건축물,노유자시설,37.4653017937572,126.932869390596
우수,금천구,사회적경제 허브센터,건축물,제1종 근린생활시설,36.574066880696975,128.7166926352226
일반,서초구,서초3동 구립경로당,건축물,노유자시설,37.4933414144962,126.985946469715
